quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7600,7044967,not_started,512-030-510-085,A,Clip Sidebody to Baggage Bay Floor V4,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7601,7044992,not_started,512-030-510-069,A,Clip Sidebody to Roof Longeron V0 LH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7602,7045013,not_started,512-030-510-070,A,Clip. Sidebody to Roof Longeron V0 RH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7603,7045029,not_started,512-030-510-072,A,Clip Sidebody to Roof Longeron V1 RH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7604,7045049,not_started,512-030-510-072,A,Clip Sidebody to Roof Longeron V1 RH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7605,7045174,not_started,512-030-510-077,A,Clip Sidebody to Roof Longeron V4 LH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7606,7045293,not_started,512-030-550-011,A,BUMPER - AFT LOWER SLIDING DOOR,manufactured,,Historical Part Requote,False,46,0.00,0.00,0.00,50
7607,7045318,not_started,512-030-510-078,A,Clip Sidebody to Roof Longeron V4 RH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7608,7045361,not_started,512-030-510-086,A,Clip. Sidebody to Baggage Bay Floor V4,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7609,7045469,not_started,512-030-510-087,A,Clip Sidebody to Mid Lift Frame LH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7610,7045526,not_started,512-030-510-088,A,Clip Sidebody to Mid Lift Frame RH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7611,7045565,not_started,512-030-610-303,-,AFT SKIN DOUBLER- LH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7612,7045585,not_started,512-030-500-119,-,BRACKET ASSY SYSTEM SUPPORT,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7613,7045618,not_started,512-061-450-105,C,FWD FRAME ASSY-SAIL FAIRING,manufactured,,Historical Part Requote,False,22,0.00,0.00,0.00,50
7614,7045652,completed,512-030-310-032,A,UPPER LONGERON SHEAR CLIP,manufactured,Aluminum 7075-T73,SM - Piece (combo),True,40,67.82,2712.80,2712.80,50
7615,7045700,not_started,512-062-400-115,-,HEAT SHIELD ASSY-ENGINE-RH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7616,7045824,no_quote,0040-7601,01,HANDLE ENDURA MAINFRAME,manufactured,,NQ - Not a Core Competency,False,1,0.00,0.00,0.00,5
7616,7045824,no_quote,0040-7601,01,HANDLE ENDURA MAINFRAME,manufactured,,NQ - Not a Core Competency,False,5,0.00,0.00,0.00,5
7616,7045824,no_quote,0040-7601,01,HANDLE ENDURA MAINFRAME,manufactured,,NQ - Not a Core Competency,False,10,0.00,0.00,0.00,5
7616,7045824,no_quote,0040-7601,01,HANDLE ENDURA MAINFRAME,manufactured,,NQ - Not a Core Competency,False,15,0.00,0.00,0.00,5
7616,7045824,no_quote,0040-7601,01,HANDLE ENDURA MAINFRAME,manufactured,,NQ - Not a Core Competency,False,20,0.00,0.00,0.00,5
7617,7155700,completed,0011-09850,02,ASSEMBLY FRAME C3oC,assembled,CRS,SM - Assy,True,1,3260.00,3260.00,3260.00,80
7619,7051127,not_started,512-062-400-113,-,HEAT SHIELD ASSY-ENGINE-LH,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7620,7051458,not_started,512-034-710-009,C,Clip Static Wick - Vertical Fin,manufactured,,Historical Part Requote,False,41,0.00,0.00,0.00,50
7621,7051486,not_started,512-061-252-101,C,HINGE FITTING ASSY,assembled,,Historical Part Requote,False,16,0.00,0.00,0.00,50
7622,7051533,not_started,512-030-100-521,A,BOND STRAP BRACKET ASSY,manufactured,,Historical Part Requote,False,19,0.00,0.00,0.00,50
7623,7051600,not_started,512-034-700-237,A,STRAP BONDING ASSY - LCF,manufactured,,Historical Part Requote,False,20,0.00,0.00,0.00,50
7624,7051765,not_started,512-030-100-231,,BRACKET ASSY,manufactured,,Historical Part Requote,False,45,0.00,0.00,0.00,50
7625,7051835,not_started,512-030-410-227,B,,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7626,7051869,not_started,512-030-410-229,A,Outbd Baggage Floor Strap,manufactured,,Historical Part Requote,False,21,0.00,0.00,0.00,50
7627,7051923,not_started,512-030-610-055,B,Splice,manufactured,,Historical Part Requote,False,23,0.00,0.00,0.00,50
7628,7052024,completed,512-030-610-095,B,Splice,manufactured,Aluminum 7075-T6,MS - Mill,True,23,124.00,2852.00,2852.00,52
7629,7052054,no_quote,512-030-440-315,-,FOAM BLOCK,manufactured,,Historical Part Requote,False,27,0.00,0.00,0.00,50
7630,7052137,completed,512-030-510-097,-,Strap Bonding,manufactured,Aluminum 1100,SM - Piece (combo),True,21,127.00,2667.00,2667.00,46
7631,7052504,completed,512-030-510-133,A,Strap Bonding,manufactured,Aluminum 1100,SM - Piece (combo),True,21,153.00,3213.00,3533.00,46
7632,7052554,completed,512-030-510-137,-,Strap Bonding,manufactured,Aluminum 1100,SM - Piece (combo),True,21,83.10,1745.10,1745.10,50
7633,7052574,completed,512-030-610-223,-,STRAP BONDING - UPR LONGERON LH,manufactured,Aluminum 1100,SM - Piece (combo),True,16,838.00,13408.00,13408.00,70
7634,7052669,completed,512-030-100-331,C,Support Clip Assy Pedestal Storage Bin,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,40,82.20,3288.00,3288.00,48
7635,7052732,completed,512-030-510-089,A,Clip Sidebody to Aft Lift Frame,manufactured,Aluminum 7075,SM - Piece (combo),True,21,129.00,2709.00,2709.00,60
7636,7055205,completed,L21398P03,H,"COVER, PLATE - TRANSFER
GEARBOX",manufactured,Cast Aluminum,MS - Mill,True,200,19.81,3962.00,3962.00,20
7637,7055445,completed,0042-61278,02,"BULKHEAD, HX MANIFOLD, 300MM RADIANCE",assembled,CRS,SM - Assy,True,1,809.00,809.00,1709.00,70
7637,7055445,completed,0042-61278,02,"BULKHEAD, HX MANIFOLD, 300MM RADIANCE",assembled,CRS,SM - Assy,True,2,436.00,872.00,1772.00,70
7637,7055445,completed,0042-61278,02,"BULKHEAD, HX MANIFOLD, 300MM RADIANCE",assembled,CRS,SM - Assy,True,4,249.00,996.00,1896.00,70
7637,7055445,completed,0042-61278,02,"BULKHEAD, HX MANIFOLD, 300MM RADIANCE",assembled,CRS,SM - Assy,True,10,137.00,1370.00,2270.00,70
7638,7055640,not_started,0010-27197,03,"ACE ASSY, ENDURA 2, 300MM",manufactured,,,False,1,0.00,0.00,0.00,0
7638,7055640,not_started,0010-27197,03,"ACE ASSY, ENDURA 2, 300MM",manufactured,,,False,5,0.00,0.00,0.00,0
7638,7055640,not_started,0010-27197,03,"ACE ASSY, ENDURA 2, 300MM",manufactured,,,False,10,0.00,0.00,0.00,0
7638,7055640,not_started,0010-27197,03,"ACE ASSY, ENDURA 2, 300MM",manufactured,,,False,15,0.00,0.00,0.00,0
7638,7055640,not_started,0010-27197,03,"ACE ASSY, ENDURA 2, 300MM",manufactured,,,False,25,0.00,0.00,0.00,0
7638,7055640,not_started,0010-27197,03,"ACE ASSY, ENDURA 2, 300MM",manufactured,,,False,50,0.00,0.00,0.00,0
7638,7055641,not_started,0020-02298,04,"RETAINER, SPHERICAL BEARING, BUFFER CASS",manufactured,,,False,1,0.00,0.00,0.00,0
7638,7055641,not_started,0020-02298,04,"RETAINER, SPHERICAL BEARING, BUFFER CASS",manufactured,,,False,5,0.00,0.00,0.00,0
7638,7055641,not_started,0020-02298,04,"RETAINER, SPHERICAL BEARING, BUFFER CASS",manufactured,,,False,10,0.00,0.00,0.00,0
7638,7055641,not_started,0020-02298,04,"RETAINER, SPHERICAL BEARING, BUFFER CASS",manufactured,,,False,15,0.00,0.00,0.00,0
7638,7055641,not_started,0020-02298,04,"RETAINER, SPHERICAL BEARING, BUFFER CASS",manufactured,,,False,25,0.00,0.00,0.00,0
7638,7055641,not_started,0020-02298,04,"RETAINER, SPHERICAL BEARING, BUFFER CASS",manufactured,,,False,50,0.00,0.00,0.00,0
7638,7055642,not_started,0020-47183,03,BRACKET CLAMP DC CABLE RPG 300MM PVD,manufactured,,,False,1,0.00,0.00,0.00,0
