quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7670,7088013,completed,512-030-101-009,A,ANGLE ASSY,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,80,71.40,5712.00,5712.00,55
7671,7088219,completed,512-012-205-101,-,WASHER BENDABLE LOCK-TR,manufactured,Stainless Steel 301,SM - Piece (combo),True,,True,16,127.00,2032.00,2032.00,50
7672,7088254,completed,512-000-030-135,-,SUPPORT BRACKET ASSY,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,26,115.00,2990.00,2990.00,60
7673,7088373,completed,512-030-101-487,-,Bracket Assy Support,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,95,91.81,8721.95,8721.95,60
7673,7088373,completed,512-030-101-487,-,Bracket Assy Support,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,159,86.19,13704.21,13704.21,60
7674,7088499,completed,512-069-419-117,-,BAFFLE-CL FIREWALL,manufactured,Stainless Steel 301 1/4 Hard,SM - Piece (combo),True,,True,13,137.00,1781.00,1781.00,50
7674,7088499,completed,512-069-419-117,-,BAFFLE-CL FIREWALL,manufactured,Stainless Steel 301 1/4 Hard,SM - Piece (combo),True,,True,23,103.00,2369.00,2369.00,50
7675,7088739,completed,512-030-530-294,B,CLIP FWD - FIREWALL RH,manufactured,Stainless Steel 17-4 PH,MS - Mill,True,,True,13,797.00,10361.00,10361.00,67
7676,7088770,no_quote,512-010-104-101,A,BLADE BOLT ASSY,manufactured,,NQ - Not a Core Competency,False,,True,189,0.00,0.00,0.00,5
7677,7098540,on_hold,0023-16986,02,"SUPPORT BLOCK, CASSETTE TANK",manufactured,Aluminum 6061-T6,MS - Mill,True,,False,16,94.25,1508.00,2308.00,50
7677,7224743,on_hold,0042-93217,02,"SUPPORT PLATE, E84 CASSETTE TANK",manufactured,Aluminum 6061-T6,MS - Mill,True,,False,4,1340.00,5360.00,6160.00,54
7678,7114008,completed,035423,-,CUP BLADE ACTUATING,manufactured,Aluminum 7075-T7351,MS - Mill Turn,True,,True,80,291.00,23280.00,23280.00,70
7679,7116972,not_started,512-030-101-502,B,Seat Rail Assy - RHS,manufactured,,Historical Part Requote,False,,True,7,0.00,0.00,0.00,50
7680,7119003,no_quote,512-220-502-101,C,TROLLY BASE,manufactured,,Historical Part Requote,False,,True,1,0.00,0.00,0.00,50
7680,7119003,no_quote,512-220-502-101,C,TROLLY BASE,manufactured,,Historical Part Requote,False,,True,5,0.00,0.00,0.00,50
7680,7119003,no_quote,512-220-502-101,C,TROLLY BASE,manufactured,,Historical Part Requote,False,,True,10,0.00,0.00,0.00,50
7681,7119047,completed,512-000-020-195,-,SUPPORT BRACKET ASSY,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,14,240.00,3360.00,3360.00,60
7682,7120585,not_started,449-075-206-101,A,PLATE ASSEMBLY,manufactured,Aluminum 6013-T4,SM - Piece,True,,True,11,981.00,10791.00,10791.00,60
7682,7120586,not_started,449-075-206-103,A,PLATE ASSEMBLY,manufactured,Aluminum 6013-T4,SM - Piece,True,,True,12,928.00,11136.00,11136.00,60
7682,7120598,not_started,449-075-211-103,C,PLATE ASSY,manufactured,Aluminum 2024-T3,SM - Piece (combo),True,,True,12,196.00,2352.00,2352.00,70
7682,7120603,not_started,449-075-211-105,C,PLATE ASSY,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,12,229.00,2748.00,2748.00,70
7682,7120604,not_started,449-075-249-103,B,PLATE ASSEMBLY,manufactured,,Aerospace Assembly,False,,True,12,538.00,6456.00,6886.00,60
7682,7120605,not_started,449-075-249-117,C,PLATE,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,12,641.00,7692.00,8122.00,60
7682,7120606,not_started,449-075-355-101,-,COVER,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,24,334.00,8016.00,8446.00,60
7682,7120613,not_started,449-075-355-102,-,COVER,manufactured,,,False,,True,23,429.00,9867.00,9867.00,60
7682,7120621,not_started,449-075-359-101,-,COVER,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,12,519.00,6228.00,6228.00,60
7682,7120623,not_started,449-075-367-101,-,PLATE,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,12,644.00,7728.00,8158.00,60
7682,7120626,not_started,449-075-368-101,B,COVER,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,,True,12,603.00,7236.00,7666.00,60
7682,7120628,not_started,449-375-225-101,A,CHASSIS ASSEMBLY,manufactured,,,False,,True,22,1856.00,40832.00,41552.00,70
7682,7120638,not_started,449-375-358-101,A,CHASSIS ASSEMBLY,manufactured,,,False,,True,12,2819.00,33828.00,34548.00,70
7682,7120639,not_started,449-375-361-101,A,CHASSIS ASSEMBLY,manufactured,Aluminum 5052,Aerospace Assembly,True,,True,2,3784.00,7568.00,7568.00,70
7682,7120641,not_started,449-375-365-101,B,CHASSIS,manufactured,,,False,,True,12,1401.00,16812.00,17532.00,70
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120885,not_started,0040-33281,06,"SLIDE ASSY CH A/B SER, PROD S, SPLIT",assembled,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120886,not_started,0022-27078,02,"MOUNT, CLEAR WAFER SENSOR, LEFT, ENDURA",manufactured,,Historical Part Requote,False,,False,125,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120887,not_started,0022-27079,02,"MOUNT, CLEAR WAFER SENSOR, RIGHT, ENDURA",manufactured,,Historical Part Requote,False,,False,150,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,1,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,5,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,10,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,25,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,50,0.00,0.00,0.00,50
7683,7120888,not_started,0040-54104,01,SUPPORT CENTER RPS2 LID 200MM PRODUCER,manufactured,,Historical Part Requote,False,,False,65,0.00,0.00,0.00,50
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,1,484.00,484.00,1184.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,5,138.00,690.00,1390.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,25,68.84,1721.00,2421.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,50,60.20,3010.00,3010.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,100,56.40,5640.00,5640.00,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,150,54.79,8218.50,8218.50,70
7685,7121056,completed,0023-41790,01,"COVER, INSULATION, BRANCH BREAKERS",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,300,53.52,16056.00,16056.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,1,456.00,456.00,1156.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,5,122.00,610.00,1310.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,25,54.32,1358.00,2058.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,50,45.94,2297.00,2297.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,100,42.14,4214.00,4214.00,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,150,40.63,6094.50,6094.50,70
7685,7121057,completed,0023-41821,01,"CB SAFETY COVER, AC BOX, 10CH UPS, FAB L",manufactured,Polycarbonate / PC (Transparent),SM - Piece,True,,False,300,39.36,11808.00,11808.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,1,818.00,818.00,1518.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,5,181.00,905.00,1605.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,25,52.72,1318.00,2018.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,50,36.76,1838.00,2538.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,100,28.89,2889.00,2889.00,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,150,26.19,3928.50,3928.50,70
7685,7121058,completed,0043-06846,01,"BRACKET ASSY, LOTO, MITSUBISHI 3P CB, 12",assembled,Stainless Steel 304L,SM - Assy,True,,False,300,23.57,7071.00,7071.00,70
7685,7132419,completed,0043-06852,01,"BRACKET, MOUNTING,",manufactured,CRS,SM - Piece W/HDWE,True,,False,1,579.00,579.00,1179.00,70
