id,name,phone,erp_code,type,url
22198,000124                   C: Paperless Parts,,000124,customer,
22383,1ST QUALITY METAL SOLUTIONS        ,4233454945,000105,customer,
22847,360 PROTOTYPING LLC                ,5123101400,000401,customer,
22283,3D SYSTEMS CORPORATION             ,,000004,customer,
22505,3M                                 ,6517372801,000542,customer,
22785,"3PS, INC.                         ",5127595137,000314,customer,
22288,4D DESIGN                          ,5122180100,000005,customer,
22574,"962, INC.                         ",5123109431,000152,customer,
22481,AAI CORPORATION,5123287799,000512,customer,www.aaicorp.com
465651,AAR Airframe Services,2263504500,,customer,https://www.aarcorp.com/en/services/airframe-maintenance
22527,"AAVID THERMALLOY, LLC              ",5123828121,000548,customer,www.aavid.com
419258,ABCO Industries Inc,9026348821,,customer,https://abco.ca
294425,Able Aerospace Services,6023041227,,customer,www.ableengineering.com
22414,"ACCELERATE PMG, INC.              ",5125068668,000169,customer,
22640,"ACCRETECH USA, INC.               ",5122464535,000223,customer,
22510,ACCURUS AEROSPACE CORPORATION      ,9184383121,000546,customer,
22466,ACE GRINDING & MFG. OF TEXAS      ,9726604666,000179,customer,
385417,Acier Lachine Inc,5146342252,,customer,https://www.acierlachine.com
22577,ACTIVE POWER                      ,5128366464,000156,customer,
22556,ACUTRONIC ,7372129013,000603,customer,
27764,ADCO Circuits,,,customer,
26954,ADCO Circuts,,,customer,
22280,ADVANCED ENERGY IND. INC. AERA     ,4808924350,000001,customer,
22585,ADVANCED FABRICATION               ,5104896218,000627,customer,
22366,"ADVANCED GEOSCIENCES, INC.         ",5123353338,000142,customer,
22297,ADVANCED MACHINE PROGRAMMING       ,4087792927,000020,customer,
22347,ADVANCED STAINLESS TECHNOLOGIES    ,5122639800,000081,customer,
22644,AEROBIC & PUMP CONTROLS           ,5129302287,000228,customer,
413917,"Aero Brake & Spares, Inc",5123569621,,customer,
648829,"Aero Components, LLC",8175723003,,customer,www.aero-components.com
22852,"AEROFLEX\METELICS, INC.           ",4087378181,000411,customer,
447674,Aerzen USA Corp.,,,customer,
22592,AFE INC.                           ,2624975121,000637,customer,
22438,AGH INDUSTRIES                     ,8172841742,000475,customer,
22836,AGILENT TECHNOLOGIES INT. PTE. LTD,8004245444,000374,customer,
22321,"AGILE TECHNOLOGY, INC.             ",5125895069,000046,customer,
355763,Ai Monotony Inc,,,customer,http://www.monotony.ai
22866,AIRBUS HELICOPTERS INC             ,6622446231,000423,customer,
22518,"AIRTRONIC USA, LLC                 ",8309809788,000555,customer,
754048,"Alamo Aircraft, Ltd.",2104345577,,customer,alamoaircraft.com
22756,ALC-COLLEGEDALE                    ,5126102200,000449,customer,
22391,ALCOA HOWMET CASTINGS              ,4125532360,000113,customer,
395601,Alco-Tmi Inc,4186691911,,customer,https://www.alcotmi.com
27266,Aldine Metal Products Corp,,,customer,
22844,ALEKTRONICS INC.                  ,9374292118,000376,customer,
429977,A-Line Aerospace,4167694557,,customer,https://a-linetool.com
752748,Allen Control Systems,2103237300,,customer,https://www.allencontrolsystems.com/
462965,Allenworks Inc.,,,customer,
22303,ALLIANT TECHSYSTEMS                ,7275722236,000029,customer,
22557,ALLIED HORIZONTAL WIRELINE SERVICES,7133437280,000604,customer,
22355,"ALL POINTS EQUIPMENT CO., LP.      ",9793872298,000076,customer,
22292,ALL-PRO FASTENERS                  ,,000016,customer,
22803,ALPHA MACHINE                     ,5012629555,000327,customer,
589102,Alpine Precision Inc,4062934907,,customer,www.alpineprecisionllc.com
496095,Altec,,,customer,
22842,"ALWAYS INTEGRITY MACHINING, LLC   ",5126701010,000402,customer,
22526,AMD AUSTIN                        ,8005388450,000162,customer,
616442,Americana Advanced Assemblies,9375529393,,customer,https://aaassemblies.com/
76601,American Athletics Co.,,,customer,
22627,AMERICAN DENTAL AIRSONIC TECHNOLOGI,3612891145,000218,customer,
22352,"AMERICAN DURABLE, INC.             ",6514556314,000073,customer,
22408,AMETEK                             ,8584580274,000587,customer,
480484,AMETEK FMH Aerospace,7147511000,,customer,https://www.fmhaerospace.com
415076,Amfab,7148700376,,customer,https://www.amfabaerospace.com
27254,ANAPLEX CORP,,,customer,http://www.anaplexcorp.com
299453,Anduril Industries,9498911607,000673,customer,https://www.anduril.com
22780,ANUE SYSTEMS INC.                 ,5125270453,000301,customer,
22497,A & ONE PRECISION ENGINERING       ,6565431181,000531,customer,www.a-oneprecicion.com
22532,APEX INDUSTRIES                    ,5068571620,000571,customer,
22356,APEX INSTRUMENT CORPORATION        ,9792517277,000077,customer,
449453,Apparent Technologies,5128730023,,customer,https://apparenttech.com
22315,APPLIED MATERIALS INC.,5122721000,000037,customer,
22458,APPLIED MATERIALS S.E.ASIA PTE.LTD ,,000503,customer,
22568,APPLIED MATERIALS SINGAPORE TECHN  ,,000614,customer,
129484,Applied Materials Taiwan,,000503,customer,
22820,APPLIED RESEARCH                   ,2819337673,000381,customer,
478357,Applied Research Laboratories,5128353200,,customer,https://wwwext.arlut.utexas.edu
22378,APPLIED RESEARCH LABORATORIES      ,5128353335,000099,customer,
22861,APPLIED RIGAKU TECHNOLOGIES        ,2813622300,000418,customer,
22545,APPTRONIK                          ,5129178003,000592,customer,
22281,APW ENCLOSURE SYSTEMS              ,5129264426,000002,customer,
574546,Archer Aviation Inc,6502723233,,customer,www.archer.com
480487,Architectural Polymers,6108243322,,customer,https://apformliner.com
22690,ARC SPECIALITIES                  ,7136317575,000315,customer,
639145,Argon FDS,,,customer,
723238,ARGOSY DESIGNS INC.,5185958480,,customer,
22487,ARGO TURBOSERVE CORP               ,2105282144,000521,customer,www.argoturbo.com
430833,Arkansas Air National Guard,5019877489,,customer,
142816,ARM Automation,,,customer,
22312,"ARMNIONICS INDUSTRIES, INC.        ",2104904582,000040,customer,
22564,ARTSEMI LLC                        ,5123771016,000611,customer,
