quote_number,quote_revision,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7900,,7408716,not_started,68A731830,-,PIN,manufactured,,,False,5809add6-2c35-434d-a1b2-88c012c7c99e,True,168,0.0,0.0,0.0,0
7901,,7408927,not_started,512-034-700-141,A,BRACKET ASSY SYS SUPPORT - Tailboom,manufactured,,,False,8e1749fe-95f1-4f96-971b-a347415ff4f0,True,23,0.0,0.0,0.0,0
7902,,7409247,not_started,512-034-710-105,C,Bracket Drive Shaft Cover - Tailboom,manufactured,,,False,220b26a3-3498-42e5-b76d-9f4e18e871bd,True,23,0.0,0.0,0.0,0
7903,,7409319,not_started,512-030-401-581,-,ANGLE ASSY LH,manufactured,,,False,a394aad7-1bf4-4814-8c3f-28178f1cebaa,True,23,0.0,0.0,0.0,0
7903,,7409322,not_started,512-030-411-299,-,ANGLE ASSY RH,manufactured,,,False,3d499b49-a4b6-417d-9961-8486538e8ffb,True,23,0.0,0.0,0.0,0
7904,,7409810,not_started,512-030-110-537,-,Access Panel Pedestal,manufactured,,,False,136e8759-4088-4baa-a9da-2e9158bfcd06,True,42,0.0,0.0,0.0,0
7905,,7410009,not_started,512-015-038-101,-,BUSHING AND LINER ASSEMBLY - MAIN ROTOR,manufactured,,,False,01610a3d-63b4-40ab-b6b6-0b54eddcb0c4,True,86,0.0,0.0,0.0,0
7906,,7410056,not_started,512-042-509-101,-,SPACER GALVANIC BARRIER - TRGB,manufactured,,,False,692b86f8-b03f-4cec-ba99-9241323f289b,True,12,0.0,0.0,0.0,0
7907,,7410132,completed,5177171,,"CLOSURE, HOUSING",manufactured,CRS,SM - Piece,True,f32dced5-4637-45bb-85b1-775b7a4cba25,False,50,29.8,1490.0,1490.0,63
7907,,7410132,completed,5177171,,"CLOSURE, HOUSING",manufactured,CRS,SM - Piece,True,f32dced5-4637-45bb-85b1-775b7a4cba25,False,100,25.52,2552.0,2552.0,64
7907,,7410133,completed,5177211,A,,manufactured,Stainless Steel 304L,MS - Mill Turn,False,77d22520-fcfd-4af2-acb9-29bf422ffef1,False,50,542.0,27100.0,27100.0,92
7907,,7410133,completed,5177211,A,,manufactured,Stainless Steel 304L,MS - Mill Turn,False,77d22520-fcfd-4af2-acb9-29bf422ffef1,False,100,518.0,51800.0,51800.0,108
7907,,7410134,on_hold,5177173,C,,assembled,Carbon Steel 1010,MS  - Assy,False,c3756033-1718-48f6-88fc-890f102d6838,False,50,234.0,11700.0,13500.0,91
7907,,7410134,on_hold,5177173,C,,assembled,Carbon Steel 1010,MS  - Assy,False,c3756033-1718-48f6-88fc-890f102d6838,False,100,216.0,21600.0,21600.0,99
7907,,7410135,completed,5177177,,,manufactured,Stainless Steel 304L,MS - Lathe,False,0034e2dd-0d5b-4ee8-ab4b-7256078ecb84,False,50,60.46,3023.0,3023.0,74
7907,,7410135,completed,5177177,,,manufactured,Stainless Steel 304L,MS - Lathe,False,0034e2dd-0d5b-4ee8-ab4b-7256078ecb84,False,100,53.74,5374.0,5374.0,76
7908,,7410810,not_started,0011-03089,01,"RIVETED ENCLOSURE, GAS BOX, 300MM ALD TAN, ENDURA 2",assembled,,,False,7d7f5160-225c-4e0a-9cb4-452c23fd80bd,False,1,8.66,8.66,8.66,0
7908,,7410810,not_started,0011-03089,01,"RIVETED ENCLOSURE, GAS BOX, 300MM ALD TAN, ENDURA 2",assembled,,,False,7d7f5160-225c-4e0a-9cb4-452c23fd80bd,False,5,8.66,43.3,43.3,0
7908,,7410810,not_started,0011-03089,01,"RIVETED ENCLOSURE, GAS BOX, 300MM ALD TAN, ENDURA 2",assembled,,,False,7d7f5160-225c-4e0a-9cb4-452c23fd80bd,False,10,8.66,86.6,86.6,0
7908,,7410810,not_started,0011-03089,01,"RIVETED ENCLOSURE, GAS BOX, 300MM ALD TAN, ENDURA 2",assembled,,,False,7d7f5160-225c-4e0a-9cb4-452c23fd80bd,False,15,8.66,129.9,129.9,0
7908,,7410810,not_started,0011-03089,01,"RIVETED ENCLOSURE, GAS BOX, 300MM ALD TAN, ENDURA 2",assembled,,,False,7d7f5160-225c-4e0a-9cb4-452c23fd80bd,False,20,8.66,173.2,173.2,0
7908,,7410810,not_started,0011-03089,01,"RIVETED ENCLOSURE, GAS BOX, 300MM ALD TAN, ENDURA 2",assembled,,,False,7d7f5160-225c-4e0a-9cb4-452c23fd80bd,False,25,8.66,216.5,216.5,0
7909,,7421573,not_started,,,,assembled,,Historical Part Requote,False,1feae56a-2ba5-485a-8ad8-6cbaf08fda35,False,1,0.0,0.0,0.0,50
7909,,7421573,not_started,,,,assembled,,Historical Part Requote,False,1feae56a-2ba5-485a-8ad8-6cbaf08fda35,False,5,0.0,0.0,0.0,50
7909,,7421573,not_started,,,,assembled,,Historical Part Requote,False,1feae56a-2ba5-485a-8ad8-6cbaf08fda35,False,10,0.0,0.0,0.0,50
7909,,7421575,not_started,,,,assembled,,,False,f086b9e5-19e3-4667-b93a-6165f06b6692,False,1,0.0,0.0,0.0,0
7909,,7421575,not_started,,,,assembled,,,False,f086b9e5-19e3-4667-b93a-6165f06b6692,False,5,0.0,0.0,0.0,0
7909,,7421575,not_started,,,,assembled,,,False,f086b9e5-19e3-4667-b93a-6165f06b6692,False,10,0.0,0.0,0.0,0
7910,,7421501,not_started,0040-07101-1,02,WELDMENT SHORT FEED THRU GAS,manufactured,,,False,f980097b-5764-4742-ab9d-90ba7e1316db,False,1,0.0,0.0,0.0,0
7910,,7421501,not_started,0040-07101-1,02,WELDMENT SHORT FEED THRU GAS,manufactured,,,False,f980097b-5764-4742-ab9d-90ba7e1316db,False,3,0.0,0.0,0.0,0
7910,,7421501,not_started,0040-07101-1,02,WELDMENT SHORT FEED THRU GAS,manufactured,,,False,f980097b-5764-4742-ab9d-90ba7e1316db,False,5,0.0,0.0,0.0,0
7910,,7421501,not_started,0040-07101-1,02,WELDMENT SHORT FEED THRU GAS,manufactured,,,False,f980097b-5764-4742-ab9d-90ba7e1316db,False,10,0.0,0.0,0.0,0
7910,,7421501,not_started,0040-07101-1,02,WELDMENT SHORT FEED THRU GAS,manufactured,,,False,f980097b-5764-4742-ab9d-90ba7e1316db,False,15,0.0,0.0,0.0,0
7910,,7421501,not_started,0040-07101-1,02,WELDMENT SHORT FEED THRU GAS,manufactured,,,False,f980097b-5764-4742-ab9d-90ba7e1316db,False,25,0.0,0.0,0.0,0
7911,,7421840,not_started,407-010-104-113A,B,CONE ASSY,manufactured,,,False,3e4fc026-59de-403e-8de0-0f85cca21ad0,True,7,0.0,0.0,0.0,0
7912,,7421962,not_started,512-030-101-831,A,WELD ASSY PITOT MOUNT - COPILOT,manufactured,,,False,8e8b647d-85d7-4bb9-b31e-1f57d31be373,True,5,0.0,0.0,0.0,0
7912,,7422002,not_started,512-030-101-839,A,WELD ASSY PITOT MOUNT - STANDBY,manufactured,,,False,5274141b-2fb6-4139-a3f3-9af063e38f67,True,2,0.0,0.0,0.0,0
7912,,7422021,not_started,512-030-101-841,A,WELD ASSY PITOT MOUNT - PILOT,manufactured,,,False,dfd9dc53-05fd-447e-a84c-57b9ce071a42,True,2,0.0,0.0,0.0,0
7912,,7422031,not_started,512-030-130-731,-,CAP PITOT MOUNT,manufactured,,,False,1ce32582-44ff-46fc-b383-3d7d3664b60a,True,9,0.0,0.0,0.0,0
7913,,7422275,completed,0043-03132,01,COV PROCESS GL,assembled,Aluminum 5052-H32,SM - Assy,True,f529a0e4-86b8-47be-9fbe-31ed78f8d1dd,False,1,931.0,931.0,2131.0,61
7913,,7422275,completed,0043-03132,01,COV PROCESS GL,assembled,Aluminum 5052-H32,SM - Assy,True,f529a0e4-86b8-47be-9fbe-31ed78f8d1dd,False,10,173.0,1730.0,2930.0,62
7913,,7422275,completed,0043-03132,01,COV PROCESS GL,assembled,Aluminum 5052-H32,SM - Assy,True,f529a0e4-86b8-47be-9fbe-31ed78f8d1dd,False,25,122.0,3050.0,4250.0,63
