ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
318,1,"95264dcf-434c-47fd-b7d2-cee8a6ba6a3a",True,1,1,2,False,15,414,2,21,422,1,1,13442,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
319,1,"af0b3d1d-3046-4d7b-b20f-087470bba261",True,1,1,2,False,15,429,2,24,430,1,1,13444,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
320,1,"f53c5f24-0a08-41ca-afed-1a41362aede9",True,1,1,2,False,15,443,2,27,444,1,1,13446,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
321,1,"91b2edaa-1574-479b-a909-8d55702f2709",True,1,1,2,False,15,455,2,30,456,1,1,13448,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
322,1,"cd8d8c58-e897-43af-9793-019511c9508c",True,1,1,2,False,15,465,2,33,466,1,1,13450,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
323,1,"a7266971-f661-455a-83bb-13d0abb7ff68",True,1,1,2,False,15,474,2,36,475,1,1,13452,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
324,1,"57763547-eb96-4cfa-92c2-32d1012f089b",True,1,1,2,False,15,489,2,39,490,1,1,13454,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
325,1,"d306ceb7-db2b-4ac8-82a2-52691a919a55",True,1,1,2,False,15,498,2,42,499,1,1,13456,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
326,1,"e4a25d74-76ec-433b-af05-06d06f2ffdfc",True,1,1,2,False,15,508,2,45,509,1,1,13458,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
327,1,"b69ed009-b415-4f78-9296-6ac6efb87355",True,1,1,2,False,15,536,2,48,537,1,1,13460,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
328,1,"ada7b343-5c05-4714-b44b-8b193f64bcae",True,1,1,2,False,15,562,2,51,563,1,1,13462,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
329,1,"55895781-ce08-45b5-9566-28aec126d09d",True,1,1,2,False,15,570,2,54,571,1,1,13464,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
330,1,"a1877cdf-1b17-4a58-a9e9-41205f5c331b",True,1,1,2,False,15,588,2,57,589,1,1,13466,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
