erp_code,id,name,phone,phone_ext,type
000124,22198,000124                   C: Paperless Parts,,,customer
000105,22383,1ST QUALITY METAL SOLUTIONS        ,4233454945,,customer
000401,22847,360 PROTOTYPING LLC                ,5123101400,,customer
000004,22283,3D SYSTEMS CORPORATION             ,,,customer
000542,22505,3M                                 ,6517372801,,customer
,27248,3P PROCESSING INC.,,,customer
000314,22785,"3PS, INC.                         ",5127595137,,customer
000005,22288,4D DESIGN                          ,5122180100,,customer
000152,22574,"962, INC.                         ",5123109431,,customer
000512,22481,AAI CORPORATION,5123287799,,customer
,465651,AAR Airframe Services,2263504500,,customer
000548,22527,"AAVID THERMALLOY, LLC              ",5123828121,,customer
,419258,ABCO Industries Inc,9026348821,,customer
,294425,Able Aerospace Services,6023041227,,customer
000169,22414,"ACCELERATE PMG, INC.              ",5125068668,,customer
000223,22640,"ACCRETECH USA, INC.               ",5122464535,,customer
000546,22510,ACCURUS AEROSPACE CORPORATION      ,9184383121,,customer
000179,22466,ACE GRINDING & MFG. OF TEXAS      ,9726604666,,customer
,385417,Acier Lachine Inc,5146342252,,customer
000156,22577,ACTIVE POWER                      ,5128366464,,customer
000603,22556,ACUTRONIC ,7372129013,,customer
,27764,ADCO Circuits,,,customer
,26954,ADCO Circuts,,,customer
,27250,"ADVANCED AERO COATINGS, LLC",,,customer
000001,22280,ADVANCED ENERGY IND. INC. AERA     ,4808924350,,customer
000627,22585,ADVANCED FABRICATION               ,5104896218,,customer
000142,22366,"ADVANCED GEOSCIENCES, INC.         ",5123353338,,customer
000020,22297,ADVANCED MACHINE PROGRAMMING       ,4087792927,,customer
000081,22347,ADVANCED STAINLESS TECHNOLOGIES    ,5122639800,,customer
000228,22644,AEROBIC & PUMP CONTROLS           ,5129302287,,customer
,413917,"Aero Brake & Spares, Inc",5123569621,,customer
,648829,"Aero Components, LLC",8175723003,,customer
000411,22852,"AEROFLEX\METELICS, INC.           ",4087378181,,customer
,447674,Aerzen USA Corp.,,,customer
000637,22592,AFE INC.                           ,2624975121,,customer
000475,22438,AGH INDUSTRIES                     ,8172841742,,customer
000374,22836,AGILENT TECHNOLOGIES INT. PTE. LTD,8004245444,,customer
000046,22321,"AGILE TECHNOLOGY, INC.             ",5125895069,,customer
,355763,Ai Monotony Inc,,,customer
000423,22866,AIRBUS HELICOPTERS INC             ,6622446231,,customer
000555,22518,"AIRTRONIC USA, LLC                 ",8309809788,,customer
,754048,"Alamo Aircraft, Ltd.",2104345577,,customer
000449,22756,ALC-COLLEGEDALE                    ,5126102200,,customer
000113,22391,ALCOA HOWMET CASTINGS              ,4125532360,,customer
,395601,Alco-Tmi Inc,4186691911,,customer
,27266,Aldine Metal Products Corp,,,customer
000376,22844,ALEKTRONICS INC.                  ,9374292118,,customer
,429977,A-Line Aerospace,4167694557,510,customer
,752748,Allen Control Systems,2103237300,,customer
,462965,Allenworks Inc.,,,customer
000029,22303,ALLIANT TECHSYSTEMS                ,7275722236,,customer
000604,22557,ALLIED HORIZONTAL WIRELINE SERVICES,7133437280,,customer
000076,22355,"ALL POINTS EQUIPMENT CO., LP.      ",9793872298,,customer
000016,22292,ALL-PRO FASTENERS                  ,,,customer
000327,22803,ALPHA MACHINE                     ,5012629555,,customer
,589102,Alpine Precision Inc,4062934907,,customer
,496095,Altec,,,customer
000402,22842,"ALWAYS INTEGRITY MACHINING, LLC   ",5126701010,,customer
000162,22526,AMD AUSTIN                        ,8005388450,,customer
,616442,Americana Advanced Assemblies,9375529393,,customer
,76601,American Athletics Co.,,,customer
000218,22627,AMERICAN DENTAL AIRSONIC TECHNOLOGI,3612891145,,customer
000073,22352,"AMERICAN DURABLE, INC.             ",6514556314,,customer
000587,22408,AMETEK                             ,8584580274,,customer
,480484,AMETEK FMH Aerospace,7147511000,,customer
,415076,Amfab,7148700376,,customer
,27254,ANAPLEX CORP,,,customer
000673,299453,Anduril Industries,9498911607,,customer
000301,22780,ANUE SYSTEMS INC.                 ,5125270453,,customer
000531,22497,A & ONE PRECISION ENGINERING       ,6565431181,,customer
000571,22532,APEX INDUSTRIES                    ,5068571620,,customer
000077,22356,APEX INSTRUMENT CORPORATION        ,9792517277,,customer
,449453,Apparent Technologies,5128730023,,customer
000037,22315,APPLIED MATERIALS INC.,5122721000,,customer
000503,22458,APPLIED MATERIALS S.E.ASIA PTE.LTD ,,,customer
000614,22568,APPLIED MATERIALS SINGAPORE TECHN  ,,,customer
000503,129484,Applied Materials Taiwan,,,customer
000381,22820,APPLIED RESEARCH                   ,2819337673,,customer
,478357,Applied Research Laboratories,5128353200,,customer
000099,22378,APPLIED RESEARCH LABORATORIES      ,5128353335,,customer
000418,22861,APPLIED RIGAKU TECHNOLOGIES        ,2813622300,,customer
000592,22545,APPTRONIK                          ,5129178003,,customer
000002,22281,APW ENCLOSURE SYSTEMS              ,5129264426,,customer
,574546,Archer Aviation Inc,6502723233,,customer
,480487,Architectural Polymers,6108243322,,customer
000315,22690,ARC SPECIALITIES                  ,7136317575,,customer
,639145,Argon FDS,,,customer
,723238,ARGOSY DESIGNS INC.,5185958480,,customer
000521,22487,ARGO TURBOSERVE CORP               ,2105282144,,customer
,430833,Arkansas Air National Guard,5019877489,,customer
,142816,ARM Automation,,,customer
000040,22312,"ARMNIONICS INDUSTRIES, INC.        ",2104904582,,customer
000611,22564,ARTSEMI LLC                        ,5123771016,,customer
